"address";"address"
"R. Pedro Pomponazzi";2
"R. Cel.  Melo de Oliveira";2
"R. Cel.  Oscar Porto";2
"R. Antônio da Surreição";2
"R. Francisco José Sáles";2
"R. Antônio da França e Horta";2
"R. Nicolau Mayevsky";2
"R. Francisco Leite Esquerdo";2
"R. Antônio Zacharias Neto";2
"R. Dr. Campos de Tolêdo";2
"R. Araguari";2
"R. Francisca Júlia";2
"R. Oscar Freire";2
"R. Nilópolis";2
"R. Diogo de Quadros";2
"R. Carolina Fonseca";2
"R. Ataúlfo Alves";2
"R. Dirce Gonçalves Antônio";2
"R. Malie Brenner";2
"R. Dr. Vicente Giacaglini";2
"R. Atalaia Velha";2
"R. Salvador de Medeiros";2
"R. Samuel Laurence";2
"R. Flôres do Piauí";2
"R. Folha Dourada";2
"R. Dr. Veiga Filho";2
"R. Marselhesa";2
"R. Oratório";2
"R. Artur Felice";2
"R. Divinèsia";2
"R. Santa Eudóxia";2
"R. Arruda Alvim";2
"R. Mal. Hermes da Fonseca";2
"R. Dona Inácia Uchoa";2
"R. Forte de Alcântara";2
"R. Emb. Alexandre Conty";2
"R. Monte Aprazível";2
"R. Dr. Rafael de Barros";2
"R. Osaka";2
"R. Santa Rita";2
"R. Areia do Rosário";2
"R. Araújo Gondim";2
"R. Francisco Marinho";2
"R. Araritaguaba";2
"R. Cel. Esdras de Oliveira";2
"R. Dr. Mário Santalúcia";2
"R. Maestro Cardim";2
"R. Maria Figueiredo";2
"R. Gago Coutinho";2
"R. André de Almeida";2
"R. Prof. Dário Ribeiro";2
"R. Gabriela Besanzoni";2
"R. Simão Álvares";2
"R. Dr. Laérte Setúbal";2
"R. Chuvas de Verão";2
"R. Padre Viegas de Menezes";2
"R. Anhanduizinho";2
"R. Anhanguera";2
"R. Gabriel Pereira";2
"R. Luís D'Agostini";2
"R. Maria Dálcia Dores";2
"R. Oscar Gomes Cardim";2
"R. Prof. Dorival Dias Minhoto";2
"R. Prof. Alexandre Monat";2
"R. Cel. Francisco Inácio";2
"R. Palestra Italia";2
"R. Gen. Chagas Santos";2
"R. Miguel Gustavo";2
"R. Ana Alvim";2
"R. Ana Aslan";2
"R. Embaré";2
"R. Lucília Marcel";2
"R. Emília Marengo";2
"R. Dr. Djalma Pinheiro Franco";2
"R. Mercedes Tesser Pochini";2
"R. Prof. Daher Cutait";2
"R. Andorinha";2
"R. Soldado Eurípedes Rodrigues de Lima";2
"R. Paris";2
"R. Lupicínio Rodrigues";2
"R. Fábio Ferreira Veloso";2
"R. Silvestro Silvestre";2
"R. Dr. Clemente Jobim";2
"R. Dr. Mario Vicente";2
"R. Padre João Manuel";2
"R. Antônio García Rosa";2
"R. Antônio García da Cunha";2
"R. Mazzini";2
"R. Francisco Sobreira da Silva";2
"R. Francisco Rebelo";2
"R. Sepetiba";2
"R. Antonio de França e Silva";2
"R. Dom Benito Feijó";2
"R. Francisco Narcizo";2
"R. Cel. Meireles";2
"R. Antônio Moura Andrade";2
"R. Antônio Nápoli";2
"R. Augustin Luberti";2
"R. Francisco de Melo Palheta";2
"R. Correia Dias";2
"R. Paulo de Morais";2
"R. Conde de Porto Alegre";2
"R. Emílio Mallet";2
